stop_id,direction_name
412N,"Woodlawn"
413S,"Manhattan"
413N,"Woodlawn"
414S,"Manhattan"
414N,"Woodlawn"
415S,"Manhattan"
415N,"Woodlawn"
416S,"Manhattan"
416N,"Woodlawn and Eastchester - Dyre Av"
418S,"Downtown and Brooklyn"
418N,"Uptown and The Bronx"
419S,"Downtown and Brooklyn"
419N,"Uptown and The Bronx"
420S,"Brooklyn"
420N,"Uptown and The Bronx"
423S,"New Lots Av and Flatbush Av"
423N,"Manhattan"
501S,"Manhattan"
501N,"Eastchester - Dyre Av"
502S,"Manhattan"
502N,"Eastchester - Dyre Av"
503S,"Manhattan"
503N,"Eastchester - Dyre Av"
504S,"Manhattan"
504N,"Eastchester - Dyre Av"
505S,"Manhattan"
505N,"Eastchester - Dyre Av"
601S,"Manhattan"
601N,"Pelham Bay Park"
602S,"Manhattan"
602N,"Pelham Bay Park"
603S,"Manhattan"
603N,"Pelham Bay Park"
604S,"Manhattan"
604N,"Pelham Bay Park"
606S,"Manhattan"
606N,"Pelham Bay Park"
607S,"Manhattan"
607N,"Pelham Bay Park"
608S,"Manhattan"
608N,"Pelham Bay Park"
609S,"Manhattan"
609N,"Pelham Bay Park"
610S,"Manhattan"
610N,"Pelham Bay Park"
611S,"Manhattan"
611N,"Pelham Bay Park"
612S,"Manhattan"
612N,"Pelham Bay Park"
613S,"Manhattan"
613N,"Pelham Bay Park"
614S,"Manhattan"
614N,"Pelham Bay Park"
615S,"Manhattan"
615N,"Pelham Bay Park"
616S,"Manhattan"
616N,"Pelham Bay Park"
617S,"Manhattan"
617N,"Pelham Bay Park"
618S,"Manhattan"
618N,"Pelham Bay Park"
619S,"Manhattan"
619N,"Pelham Bay Park"
621S,"Downtown and Brooklyn"
621N,"The Bronx"
622S,"Downtown and Brooklyn"
622N,"Uptown and The Bronx"
623S,"Downtown and Brooklyn"
623N,"Uptown and The Bronx"
624S,"Downtown and Brooklyn"
624N,"Uptown and The Bronx"
625S,"Downtown and Brooklyn"
625N,"Uptown and The Bronx"
626S,"Downtown and Brooklyn"
626N,"Uptown and The Bronx"
627S,"Downtown and Brooklyn"
627N,"Uptown and The Bronx"
628S,"Downtown and Brooklyn"
628N,"Uptown and The Bronx"
629S,"Downtown and Brooklyn"
629N,"Uptown and The Bronx"
630S,"Downtown and Brooklyn"
630N,"Uptown and The Bronx"
631S,"Downtown and Brooklyn"
631N,"Uptown and The Bronx"
632S,"Downtown and Brooklyn"
632N,"Uptown and The Bronx"
633S,"Downtown and Brooklyn"
633N,"Uptown and The Bronx"
634S,"Downtown and Brooklyn"
634N,"Uptown and The Bronx"
635S,"Downtown and Brooklyn"
635N,"Uptown and The Bronx"
636S,"Downtown and Brooklyn"
636N,"Uptown and The Bronx"
637S,"Downtown and Brooklyn"
637N,"Uptown and The Bronx"
638S,"Downtown and Brooklyn"
638N,"Uptown and The Bronx"
639S,"Downtown and Brooklyn"
639N,"Uptown and The Bronx"
640S,"Downtown and Brooklyn"
640N,"Uptown and The Bronx"
701S,"Manhattan"
701N,"Flushing - Main St"
702S,"Manhattan"
702N,"Flushing - Main St"
705S,"Manhattan"
705N,"Flushing - Main St"
706S,"Manhattan"
706N,"Flushing - Main St"
707S,"Manhattan"
707N,"Flushing - Main St"
708S,"Manhattan"
708N,"Flushing - Main St"
709S,"Manhattan"
709N,"Flushing - Main St"
710S,"Manhattan"
710N,"Flushing - Main St"
711S,"Manhattan"
711N,"Flushing - Main St"
712S,"Manhattan"
712N,"Flushing - Main St"
713S,"Manhattan"
713N,"Flushing - Main St"
714S,"Manhattan"
714N,"Flushing - Main St"
715S,"Manhattan"
715N,"Flushing - Main St"
716S,"Manhattan"
716N,"Flushing - Main St"
718S,"Manhattan"
718N,"Flushing - Main St"
719S,"Manhattan"
719N,"Flushing - Main St"
720S,"Manhattan"
720N,"Flushing - Main St"
721S,"Manhattan"
721N,"Flushing - Main St"
723S,"34 St - Hudson Yards"
723N,"Queens"
724S,"34 St - Hudson Yards"
724N,"Queens"
725S,"34 St - Hudson Yards"
725N,"Queens"
726S,"34 St - Hudson Yards"
726N,"Queens"
901S,"Times Square"
901N,"Grand Central"
902S,"Times Square"
902N,"Grand Central"
A02S,"Downtown and Brooklyn"
A02N,"Inwood - 207 St"
A03S,"Downtown and Brooklyn"
A03N,"Inwood - 207 St"
A05S,"Downtown and Brooklyn"
A05N,"Inwood - 207 St"
A06S,"Downtown and Brooklyn"
A06N,"Inwood - 207 St"
A07S,"Downtown and Brooklyn"
A07N,"Inwood - 207 St"
A09S,"Downtown and Brooklyn"
A09N,"Inwood - 207 St"
A10S,"Downtown and Brooklyn"
A10N,"Inwood - 207 St"
A11S,"Downtown and Brooklyn"
A11N,"Inwood - 207 St"
A12S,"Downtown and Brooklyn"
A12N,"Uptown and The Bronx"
A14S,"Downtown and Brooklyn"
A14N,"Uptown and The Bronx"
A15S,"Downtown and Brooklyn"
A15N,"Uptown and The Bronx"
A16S,"Downtown and Brooklyn"
A16N,"Uptown and The Bronx"
A17S,"Downtown and Brooklyn"
A17N,"Uptown and The Bronx"
A18S,"Downtown and Brooklyn"
A18N,"Uptown and The Bronx"
A19S,"Downtown and Brooklyn"
A19N,"Uptown and The Bronx"
A20S,"Downtown and Brooklyn"
A20N,"Uptown and The Bronx"
A21S,"Downtown and Brooklyn"
A21N,"Uptown and The Bronx"
A22S,"Downtown and Brooklyn"
A22N,"Uptown and The Bronx"
A24S,"Downtown and Brooklyn"
A24N,"Uptown and The Bronx"
A25S,"Downtown and Brooklyn"
A25N,"Uptown and The Bronx"
A27S,"Downtown and Brooklyn"
A27N,"Uptown and The Bronx"
A28S,"Downtown and Brooklyn"
A28N,"Uptown and The Bronx"
A30S,"Downtown and Brooklyn"
A30N,"Uptown and The Bronx"
A31S,"Downtown and Brooklyn"
A31N,"Uptown and The Bronx"
A32S,"Downtown and Brooklyn"
A32N,"Uptown and The Bronx"
A33S,"Downtown and Brooklyn"
A33N,"Uptown and The Bronx"
A34S,"Downtown and Brooklyn"
A34N,"Uptown and The Bronx"
A36S,"Downtown and Brooklyn"
A36N,"Uptown and The Bronx"
A38S,"Brooklyn"
A38N,"Uptown and The Bronx"
A40S,"Lefferts Blvd and The Rockaways"
A40N,"Manhattan"
A41S,"Lefferts Blvd and The Rockaways"
A41N,"Manhattan"
A42S,"Lefferts Blvd and The Rockaways"
A42N,"Manhattan"
A43S,"Lefferts Blvd and The Rockaways"
A43N,"Manhattan"
A44S,"Lefferts Blvd and The Rockaways"
A44N,"Manhattan"
A45S,"Lefferts Blvd and The Rockaways"
A45N,"Manhattan"
A46S,"Lefferts Blvd and The Rockaways"
A46N,"Manhattan"
A47S,"Lefferts Blvd and The Rockaways"
A47N,"Manhattan"
A48S,"Lefferts Blvd and The Rockaways"
A48N,"Manhattan"
A49S,"Lefferts Blvd and The Rockaways"
A49N,"Manhattan"
A50S,"Lefferts Blvd and The Rockaways"
A50N,"Manhattan"
A51S,"Lefferts Blvd and The Rockaways"
A51N,"Manhattan"
A52S,"Lefferts Blvd and The Rockaways"
A52N,"Manhattan"
A53S,"Lefferts Blvd and The Rockaways"
A53N,"Manhattan"
A54S,"Lefferts Blvd and The Rockaways"
A54N,"Manhattan"
A55S,"Lefferts Blvd and The Rockaways"
A55N,"Manhattan"
A57S,"Lefferts Blvd and The Rockaways"
A57N,"Manhattan"
A59S,"Lefferts Blvd and The Rockaways"
A59N,"Manhattan"
A60S,"Lefferts Blvd and The Rockaways"
A60N,"Manhattan"
A61S,"Lefferts Blvd and The Rockaways"
A61N,"Manhattan"
A63S,"Lefferts Blvd - Ozone Park"
A63N,"Manhattan"
A64S,"Lefferts Blvd - Ozone Park"
A64N,"Manhattan"
A65S,"Lefferts Blvd - Ozone Park"
A65N,"Manhattan"
B04S,"Forest Hills and Jamaica"
B04N,"Manhattan"
B06S,"Queens"
B06N,"Manhattan"
B08S,"Downtown and Brooklyn"
B08N,"Uptown via 2nd Av"
B10S,"Uptown and Queens"
B10N,"Manhattan"
B12S,"Coney Island - Stillwell Av"
B12N,"Manhattan"
B13S,"Coney Island - Stillwell Av"
B13N,"Manhattan"
B14S,"Coney Island - Stillwell Av"
B14N,"Manhattan"
B15S,"Coney Island - Stillwell Av"
B15N,"Manhattan"
B16S,"Coney Island - Stillwell Av"
B16N,"Manhattan"
B17S,"Coney Island - Stillwell Av"
B17N,"Manhattan"
B18S,"Coney Island - Stillwell Av"
B18N,"Manhattan"
B19S,"Coney Island - Stillwell Av"
B19N,"Manhattan"
B20S,"Coney Island - Stillwell Av"
B20N,"Manhattan"
B21S,"Coney Island - Stillwell Av"
B21N,"Manhattan"
B22S,"Coney Island - Stillwell Av"
B22N,"Manhattan"
B23S,"Coney Island - Stillwell Av"
B23N,"Manhattan"
D01S,"Manhattan"
D01N,"Norwood - 205 St"
D03S,"Manhattan"
D03N,"Norwood - 205 St"
D04S,"Manhattan"
D04N,"Norwood - 205 St"
D05S,"Manhattan"
D05N,"Norwood - 205 St"
D06S,"Manhattan"
D06N,"Norwood - 205 St"
D07S,"Manhattan"
D07N,"Norwood - 205 St"
D08S,"Manhattan"
D08N,"Norwood - 205 St"
D09S,"Manhattan"
D09N,"Norwood - 205 St"
D10S,"Manhattan"
D10N,"Norwood - 205 St"
D11S,"Manhattan"
D11N,"Norwood - 205 St"
D12S,"Downtown and Brooklyn"
D12N,"The Bronx"
D13S,"Downtown and Brooklyn"
D13N,"Uptown and The Bronx"
D14S,"Downtown and Brooklyn"
D14N,"Uptown and The Bronx"
D15S,"Downtown and Brooklyn"
D15N,"Uptown and The Bronx"
D16S," Queens and The Bronx"
D16N,"Uptown"
D17S," Queens and The Bronx"
D17N,"Uptown"
D18S," Queens and The Bronx"
D18N,"Uptown"
D19S," Queens and The Bronx"
D19N,"Uptown"
D20S," Queens and The Bronx"
D20N,"Uptown"
D21S," Queens and The Bronx"
D21N,"Uptown"
D22S,"Brooklyn"
D22N,"Uptown and The Bronx"
D24S,"Coney Island and Brighton Beach"
D24N,"Manhattan"
D25S,"Coney Island and Brighton Beach"
D25N,"Manhattan"
D26S,"Coney Island and Brighton Beach"
D26N,"Manhattan"
D27S,"Coney Island and Brighton Beach"
D27N,"Manhattan"
D28S,"Coney Island and Brighton Beach"
D28N,"Manhattan"
D29S,"Coney Island and Brighton Beach"
D29N,"Manhattan"
D30S,"Coney Island and Brighton Beach"
D30N,"Manhattan"
D31S,"Coney Island and Brighton Beach"
D31N,"Manhattan"
D32S,"Coney Island and Brighton Beach"
D32N,"Manhattan"
D33S,"Coney Island and Brighton Beach"
D33N,"Manhattan"
D34S,"Coney Island and Brighton Beach"
D34N,"Manhattan"
D35S,"Coney Island and Brighton Beach"
D35N,"Manhattan"
D37S,"Coney Island and Brighton Beach"
D37N,"Manhattan"
D38S,"Coney Island and Brighton Beach"
D38N,"Manhattan"
D39S,"Coney Island and Brighton Beach"
D39N,"Manhattan"
D40S,"Coney Island and Brighton Beach"
D40N,"Manhattan"
