stop_id,direction_name
L21S,Canarsie - Rockaway Parkway
L22N,Manhattan
L22S,Canarsie - Rockaway Parkway
L24N,Manhattan
L24S,Canarsie - Rockaway Parkway
L25N,Manhattan
L25S,Canarsie - Rockaway Parkway
L26N,Manhattan
L26S,Canarsie - Rockaway Parkway
L27N,Manhattan
L27S,Canarsie - Rockaway Parkway
L28N,Manhattan
L28S,Canarsie - Rockaway Parkway
L29N,Manhattan
L29S,(Terminating trains)
S01N,(Terminating trains)
S01S,Prospect Park
S03N,Franklin Av
S03S,Prospect Park
S04N,Franklin Av
S04S,Prospect Park
A02N,(Terminating trains)
A02S,Downtown and Brooklyn
A03N,207 St
A03S,Downtown and Brooklyn
A05N,207 St
A05S,Downtown and Brooklyn
A06N,207 St
A06S,Downtown and Brooklyn
A07N,207 St
A07S,Downtown and Brooklyn
A09N,207 St
A09S,Downtown and Brooklyn
A10N,Uptown
A10S,Downtown and Brooklyn
A11N,Uptown
A11S,Downtown and Brooklyn
A12N,Uptown and The Bronx
A12S,Downtown and Brooklyn
D13N,Uptown and The Bronx
D13S,Downtown and Brooklyn
A14N,Uptown and The Bronx
A14S,Downtown and Brooklyn
A15N,Uptown and The Bronx
A15S,Downtown and Brooklyn
A16N,Uptown and The Bronx
A16S,Downtown and Brooklyn
A17N,Uptown and The Bronx
A17S,Downtown and Brooklyn
A18N,Uptown and The Bronx
A18S,Downtown and Brooklyn
A19N,Uptown and The Bronx
A19S,Downtown and Brooklyn
A20N,Uptown and The Bronx
A20S,Downtown and Brooklyn
A21N,Uptown and The Bronx
A21S,Downtown and Brooklyn
A22N,Uptown and The Bronx
A22S,Downtown and Brooklyn
A24N,Uptown and The Bronx
A24S,Downtown and Brooklyn
A25N,Uptown and The Bronx
A25S,Downtown and Brooklyn
A27N,Uptown - Queens
A27S,Downtown and Brooklyn
A28N,Uptown - Queens
A28S,Downtown and Brooklyn
A30N,Uptown - Queens
A30S,Downtown and Brooklyn
A31N,Uptown - Queens
A31S,Downtown and Brooklyn
A32N,Uptown - Queens
A32S,Downtown and Brooklyn
D20N,Uptown - Queens
D20S,Downtown and Brooklyn
A33N,Uptown - Queens
A33S,Downtown and Brooklyn
A34N,Uptown - Queens
A34S,Downtown and Brooklyn
A36N,Uptown
A36S,Downtown and Brooklyn
E01N,Uptown and Queens
E01S,(Terminating trains)
A38N,Uptown
A38S,Brooklyn
A40N,Manhattan
A40S,Euclid - Lefferts - Rockaways
A41N,Manhattan
A41S,Lefferts Blvs and The Rockaways
A42N,Manhattan
A42S,Lefferts Blvs and The Rockaways
A43N,Manhattan
A43S,Euclid Av
A44N,Manhattan
A44S,Euclid Av
A45N,Manhattan
A45S,Euclid Av
A46N,Manhattan
A46S,Euclid - Lefferts - Rockaways
A47N,Manhattan
A47S,Euclid Av
A48N,Manhattan
A48S,Euclid - Lefferts - Rockaways
A49N,Manhattan
A49S,Euclid Av
A50N,Manhattan
A50S,Euclid Av
A51N,Manhattan
A51S,Euclid - Lefferts - Rockaways
A52N,Manhattan
A52S,Euclid Av
A53N,Manhattan
A53S,Euclid Av
A54N,Manhattan
A54S,Euclid Av
A55N,Manhattan
A55S,Lefferts - Rockaways
A57N,Manhattan
A57S,Lefferts - Rockaways
A59N,Manhattan
A59S,Lefferts - Rockaways
A60N,Manhattan
A60S,Lefferts - Rockaways
A61N,Manhattan
A61S,Lefferts - Rockaways
A63N,Manhattan
A63S,Lefferts Blvd
A64N,Manhattan
A64S,Lefferts Blvd
A65N,Manhattan
A65S,(Terminating trains)
H01N,Manhattan
H01S,Rockaways
H02N,Manhattan
H02S,Rockaways
H03N,Manhattan
H03S,Rockaways
H04N,Manhattan
H04S,Rockaways
H12N,Manhattan
H12S,Rockaway Park
H13N,Manhattan
H13S,Rockaway Park
H14N,Manhattan
H14S,Rockaway Park
H15N,Manhattan
H15S,(Terminating trains)
H06N,Manhattan
H06S,Far Rockaway
H07N,Manhattan
H07S,Far Rockaway
H08N,Manhattan
H08S,Far Rockaway
H09N,Manhattan
H09S,Far Rockaway
H10N,Manhattan
H10S,Far Rockaway
H11N,Manhattan
H11S,(Terminating trains)
D01N,(Terminating trains)
D01S,Manhattan
D03N,Norwood - 205 St
D03S,Manhattan
D04N,Bedford Pk Blvd and 205 St
D04S,Manhattan
D05N,Bedford Pk Blvd and 205 St
D05S,Manhattan
D06N,Bedford Pk Blvd and 205 St
D06S,Manhattan
D07N,Bedford Pk Blvd and 205 St
D07S,Manhattan
D08N,Bedford Pk Blvd and 205 St
D08S,Manhattan
D09N,Bedford Pk Blvd and 205 St
D09S,Manhattan
D10N,Bedford Pk Blvd and 205 St
D10S,Manhattan
D11N,Bedford Pk Blvd and 205 St
D11S,Manhattan
D12N,The Bronx
D12S,Downtown and Brooklyn
B04N,Jamaica
B04S,Manhattan
B06N,Queens
B06S,Manhattan
B08N,Uptown
B08S,Downtown and Brooklyn
B10N,Uptown and Queens
B10S,Downtown and Brooklyn
D15N,Uptown and The Bronx
D15S,Downtown and Brooklyn
D16N,Uptown and The Bronx - Queens
D16S,Downtown and Brooklyn
D17N,Uptown and The Bronx - Queens
D17S,Downtown and Brooklyn
D18N,Uptown and Queens
D18S,Downtown and Brooklyn
D19N,Uptown and Queens
D19S,Downtown and Brooklyn
D21N,Uptown and The Bronx - Queens
D21S,Downtown and Brooklyn
D22N,Uptown and The Bronx
D22S,Brooklyn
F14N,Uptown and Queens
F14S,Downtown and Brooklyn
F15N,Uptown and Queens
F15S,Downtown and Brooklyn
F16N,Uptown and Queens
F16S,Brooklyn
F18N,Manhattan
F18S,Coney Island
F20N,Manhattan - Queens
F20S,Church Av - Coney Island
F21N,Manhattan - Queens
F21S,Church Av - Coney Island
F22N,Manhattan - Queens
F22S,Church Av - Coney Island
F23N,Manhattan - Queens
F23S,Church Av - Coney Island
F24N,Manhattan - Queens
F24S,Church Av - Coney Island
F25N,Manhattan - Queens
F25S,Church Av - Coney Island
F26N,Manhattan - Queens
F26S,Church Av - Coney Island
F27N,Manhattan
F27S,Coney Island
F29N,Manhattan
F29S,Coney Island
F30N,Manhattan
F30S,Coney Island
F31N,Manhattan
F31S,Coney Island
F32N,Manhattan
F32S,Coney Island
F33N,Manhattan
F33S,Coney Island
F34N,Manhattan
F34S,Coney Island
F35N,Manhattan
F35S,Coney Island
F36N,Manhattan
F36S,Coney Island
F38N,Manhattan
F38S,Coney Island
F39N,Manhattan
F39S,Stillwell Av
F01N,(Terminating trains)
F01S,Manhattan
F02N,179 St
F02S,Manhattan
F03N,179 St
F03S,Manhattan
F04N,179 St
F04S,Manhattan
F05N,Jamaica
F05S,Manhattan
F06N,Jamaica
F06S,Manhattan
F07N,Jamaica
F07S,Manhattan
G08N,Jamaica
G08S,Manhattan
G09N,Forest Hills
G09S,Manhattan
G10N,Forest Hills
G10S,Manhattan
G11N,Forest Hills
G11S,Manhattan
G12N,Forest Hills
G12S,Manhattan
G13N,Forest Hills
G13S,Manhattan
G14N,Forest Hills - Jamaica
G14S,Manhattan
G15N,Forest Hills
G15S,Manhattan
G16N,Forest Hills
G16S,Manhattan
G18N,Forest Hills
G18S,Manhattan
G19N,Forest Hills
G19S,Manhattan
G20N,Forest Hills
G20S,Manhattan
G21N,Forest Hills - Jamaica
G21S,Manhattan
F09N,Forest Hills - Jamaica
